design_id,revision_id,construct_id,construct_name,position,part_id,assigned_part_id,part_name,part_type,sequence_status,sequence_length_bp,source,library_id,confidence,host_compatibility,role,evidence_source
cs2_toggle_switch,revision_1,tu_gate_1,NOR gate transcriptional unit,1,logic_promoter_1_Y1,,P_logic_1,promoter,available,6,conceptual,,measured,Escherichia coli,"Implements the NOR decision for IPTG, Y2.",
cs2_toggle_switch,revision_1,tu_gate_1,NOR gate transcriptional unit,2,rbs_regulator_1_Y1,,RBS_1,RBS,available,6,conceptual,,measured,Escherichia coli,Controls translation initiation for the gate regulator.,
cs2_toggle_switch,revision_1,tu_gate_1,NOR gate transcriptional unit,3,regulator_1_Y1,,NOR regulator 1,CDS,available,9,conceptual,,measured,Escherichia coli,Carries the regulatory output signal Y1.,
cs2_toggle_switch,revision_1,tu_gate_1,NOR gate transcriptional unit,4,term_regulator_1_Y1,,T_1,terminator,available,6,conceptual,,measured,Escherichia coli,Terminates transcription of the gate transcriptional unit.,
cs2_toggle_switch,revision_1,tu_gate_2,NOR gate transcriptional unit,1,logic_promoter_2_Y2,,P_logic_2,promoter,available,6,conceptual,,measured,Escherichia coli,"Implements the NOR decision for aTc, Y1.",
cs2_toggle_switch,revision_1,tu_gate_2,NOR gate transcriptional unit,2,rbs_regulator_2_Y2,,RBS_2,RBS,available,6,conceptual,,measured,Escherichia coli,Controls translation initiation for the gate regulator.,
cs2_toggle_switch,revision_1,tu_gate_2,NOR gate transcriptional unit,3,regulator_2_Y2,,NOR regulator 2,CDS,available,9,conceptual,,measured,Escherichia coli,Carries the regulatory output signal Y2.,
cs2_toggle_switch,revision_1,tu_gate_2,NOR gate transcriptional unit,4,term_regulator_2_Y2,,T_2,terminator,available,6,conceptual,,measured,Escherichia coli,Terminates transcription of the gate transcriptional unit.,
cs2_toggle_switch,revision_1,tu_output_1,Y1 output transcriptional unit,1,output_promoter_Y1,,P_Y1,promoter,available,6,conceptual,,measured,Escherichia coli,Drives the final output Y1.,
cs2_toggle_switch,revision_1,tu_output_1,Y1 output transcriptional unit,2,rbs_Y1,,RBS_Y1,RBS,available,6,conceptual,,measured,Escherichia coli,Controls translation of output Y1.,
cs2_toggle_switch,revision_1,tu_output_1,Y1 output transcriptional unit,3,output_cds_Y1,,Y1,CDS,available,9,conceptual,,measured,Escherichia coli,Produces the requested output signal Y1.,
cs2_toggle_switch,revision_1,tu_output_1,Y1 output transcriptional unit,4,term_Y1,,T_Y1,terminator,available,6,conceptual,,measured,Escherichia coli,Terminates the output transcriptional unit.,
cs2_toggle_switch,revision_1,tu_output_2,Y2 output transcriptional unit,1,output_promoter_Y2,,P_Y2,promoter,available,6,conceptual,,measured,Escherichia coli,Drives the final output Y2.,
cs2_toggle_switch,revision_1,tu_output_2,Y2 output transcriptional unit,2,rbs_Y2,,RBS_Y2,RBS,available,6,conceptual,,measured,Escherichia coli,Controls translation of output Y2.,
cs2_toggle_switch,revision_1,tu_output_2,Y2 output transcriptional unit,3,output_cds_Y2,,Y2,CDS,available,9,conceptual,,measured,Escherichia coli,Produces the requested output signal Y2.,
cs2_toggle_switch,revision_1,tu_output_2,Y2 output transcriptional unit,4,term_Y2,,T_Y2,terminator,available,6,conceptual,,measured,Escherichia coli,Terminates the output transcriptional unit.,
