design_id,revision_id,construct_id,construct_name,position,part_id,assigned_part_id,part_name,part_type,sequence_status,sequence_length_bp,source,library_id,confidence,host_compatibility,role,evidence_source
cs3_polycistronic_operon,revision_1,tu_gate_1,NOR gate transcriptional unit,1,logic_promoter_1_n1,,P_logic_1,promoter,available,12,conceptual,,measured,Escherichia coli,"Implements the NOR decision for A, B.",
cs3_polycistronic_operon,revision_1,tu_gate_1,NOR gate transcriptional unit,2,rbs_regulator_1_n1,,RBS_1,RBS,available,10,conceptual,,measured,Escherichia coli,Controls translation initiation for the gate regulator.,
cs3_polycistronic_operon,revision_1,tu_gate_1,NOR gate transcriptional unit,3,regulator_1_n1,,NOR regulator 1,CDS,available,12,conceptual,,measured,Escherichia coli,Carries the regulatory output signal n1.,
cs3_polycistronic_operon,revision_1,tu_gate_1,NOR gate transcriptional unit,4,term_regulator_1_n1,,T_1,terminator,available,10,conceptual,,measured,Escherichia coli,Terminates transcription of the gate transcriptional unit.,
cs3_polycistronic_operon,revision_1,tu_output_1,Y1 output transcriptional unit,1,output_promoter_Y1,,P_Y1,promoter,available,12,conceptual,,measured,Escherichia coli,Drives the final output Y1.,
cs3_polycistronic_operon,revision_1,tu_output_1,Y1 output transcriptional unit,2,rbs_Y1,,RBS_Y1,RBS,available,10,conceptual,,measured,Escherichia coli,Controls translation of output Y1.,
cs3_polycistronic_operon,revision_1,tu_output_1,Y1 output transcriptional unit,3,output_cds_Y1,,Y1,CDS,available,12,conceptual,,measured,Escherichia coli,Produces the requested output signal Y1.,
cs3_polycistronic_operon,revision_1,tu_output_1,Y1 output transcriptional unit,4,term_Y1,,T_Y1,terminator,available,10,conceptual,,measured,Escherichia coli,Terminates the output transcriptional unit.,
cs3_polycistronic_operon,revision_1,tu_output_2,Y2 output transcriptional unit,1,output_promoter_Y2,,P_Y2,promoter,available,12,conceptual,,measured,Escherichia coli,Drives the final output Y2.,
cs3_polycistronic_operon,revision_1,tu_output_2,Y2 output transcriptional unit,2,rbs_Y2,,RBS_Y2,RBS,available,10,conceptual,,measured,Escherichia coli,Controls translation of output Y2.,
cs3_polycistronic_operon,revision_1,tu_output_2,Y2 output transcriptional unit,3,output_cds_Y2,,Y2,CDS,available,12,conceptual,,measured,Escherichia coli,Produces the requested output signal Y2.,
cs3_polycistronic_operon,revision_1,tu_output_2,Y2 output transcriptional unit,4,term_Y2,,T_Y2,terminator,available,10,conceptual,,measured,Escherichia coli,Terminates the output transcriptional unit.,
